01/07/2018 19:56:12,tomato cheese ,True
01/07/2018 20:03:46,tomato cheese ham pineapple ,False
01/07/2018 20:06:01,tomato cheese ,True
01/07/2018 20:24:26,tomato cheese ,True
01/07/2018 20:32:02,tomato cheese salami ,False
01/07/2018 20:39:41,tomato garlic ,True
01/07/2018 20:42:10,tomato cheese pepperoni rocket ,True
01/07/2018 20:50:00,tomato cheese anchovies onions olives ,False
01/07/2018 21:02:37,tomato cheese ,True
01/07/2018 21:06:59,tomato cheese salami chili ,False
01/07/2018 21:20:00,tomato cheese peppers onions ,True
